dataset,algorithm,fold,n_train,n_test,train_pos_rate,test_pos_rate,fit_seconds,roc_auc,pr_auc,brier,ece,precision_at_05,recall_at_05,f1_at_05,balanced_accuracy_at_05
philippine,DecisionTree,8,174,19,0.14942528735632185,0.15789473684210525,0.004476200032513589,0.71875,0.2777777777777778,0.22865007286756112,0.2653286573279148,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5104166666666666
philippine,DecisionTree,9,174,19,0.14942528735632185,0.15789473684210525,0.004444400023203343,0.84375,0.375,0.17619550398550346,0.22051627120327516,0.375,1.0,0.5454545454545454,0.84375
philippine,DecisionTree,10,174,19,0.14942528735632185,0.15789473684210525,0.0027945999754592776,0.78125,0.3,0.23875674592925375,0.3035878251548847,0.3,1.0,0.46153846153846156,0.78125
philippine,GaussianNB,1,173,20,0.15028901734104047,0.15,0.004716199997346848,0.6862745098039216,0.4907407407407407,0.2859121709183204,0.3425000852526657,0.14285714285714285,0.3333333333333333,0.2,0.4901960784313726
philippine,GaussianNB,2,173,20,0.15028901734104047,0.15,0.002964799990877509,0.9803921568627451,0.9166666666666665,0.24229180967701724,0.3051220429731861,0.3333333333333333,1.0,0.5,0.8235294117647058
philippine,GaussianNB,3,173,20,0.15028901734104047,0.15,0.003970100020524114,0.9411764705882353,0.7555555555555555,0.08069269850733703,0.11734934068288556,0.6,1.0,0.75,0.9411764705882353
philippine,GaussianNB,4,174,19,0.15517241379310345,0.10526315789473684,0.0033015000517480075,0.9117647058823529,0.7,0.15273669253353536,0.1794763830826532,0.4,1.0,0.5714285714285714,0.9117647058823529
philippine,GaussianNB,5,174,19,0.14942528735632185,0.15789473684210525,0.0018990000244230032,1.0,1.0,0.007711994744408629,0.03162881275948616,1.0,1.0,1.0,1.0
philippine,GaussianNB,6,174,19,0.14942528735632185,0.15789473684210525,0.00316759996348992,0.9375,0.8333333333333333,0.11541975266039672,0.12866366197151954,0.5,0.6666666666666666,0.5714285714285714,0.7708333333333333
philippine,GaussianNB,7,174,19,0.14942528735632185,0.15789473684210525,0.0020929999882355332,0.8958333333333333,0.7916666666666666,0.07954738764463114,0.10238361384813902,1.0,0.3333333333333333,0.5,0.6666666666666666
philippine,GaussianNB,8,174,19,0.14942528735632185,0.15789473684210525,0.001953299972228706,0.6041666666666666,0.27301587301587305,0.22475603523725707,0.2541767254084001,0.25,0.3333333333333333,0.2857142857142857,0.5729166666666666
philippine,GaussianNB,9,174,19,0.14942528735632185,0.15789473684210525,0.002044699969701469,0.75,0.5277777777777778,0.1945827726200866,0.21800179637070194,0.25,0.3333333333333333,0.2857142857142857,0.5729166666666666
philippine,GaussianNB,10,174,19,0.14942528735632185,0.15789473684210525,0.002000699983909726,0.7708333333333333,0.5396825396825397,0.2845799074476729,0.32572993560975905,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.5104166666666666
philippine,GradientBoosting,1,173,20,0.15028901734104047,0.15,0.3287222000071779,0.9803921568627451,0.9166666666666665,0.039614734064794564,0.09517167302927208,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.803921568627451
philippine,GradientBoosting,2,173,20,0.15028901734104047,0.15,0.34973850002279505,1.0,1.0,0.03136347373472788,0.048591730727355606,1.0,0.6666666666666666,0.8,0.8333333333333333
philippine,GradientBoosting,3,173,20,0.15028901734104047,0.15,0.3956182000110857,0.9803921568627451,0.9166666666666665,0.11598916021786243,0.1288033537439249,0.0,0.0,0.0,0.5
philippine,GradientBoosting,4,174,19,0.15517241379310345,0.10526315789473684,0.36647770000854507,0.9411764705882353,0.75,0.05814661644604902,0.0695532733669151,1.0,0.5,0.6666666666666666,0.75
philippine,GradientBoosting,5,174,19,0.14942528735632185,0.15789473684210525,0.454008899978362,0.875,0.6805555555555556,0.10137547787287583,0.10718932036137141,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.8020833333333333
philippine,GradientBoosting,6,174,19,0.14942528735632185,0.15789473684210525,0.4375466000055894,1.0,1.0,0.01225967487371549,0.029298367771037677,1.0,1.0,1.0,1.0
